NUTS, Total Population
DEA23,1099874
DEA24,164629
DEA26,264715
DEA27,471299
DEA28,194028
DEA29,256618
DEA2A,269310
DEA2B,282715
DEA2C,602939
DEA2D,557359
DEA31,116337
DEA32,257804
DEA33,320822
DEA34,370477
DEA35,220547
DEA36,608831
DEA37,448418
DEA38,276270
DEA41,333927
DEA42,365299
DEA43,249360
DEA44,137972
DEA45,344230
DEA46,308357
DEA47,309309
DEA51,362650
DEA52,589784
DEA53,187593
DEA54,178268
DEA55,156156
DEA56,320649
DEA57,255761
DEA58,401978
DEA59,132246
DEA5A,274050
DEA5B,299277
DEA5C,391103
DEB11,113294
DEB12,130542
DEB13,128450
DEB14,158711
DEB15,79969
DEB17,214802
DEB18,182813
DEB1A,122135
DEB1B,202417
DEB1C,61164
DEB1D,102971
DEB21,110617
DEB22,112595
DEB23,100264
DEB24,60089
DEB25,150897
DEB31,48948
DEB32,99532
DEB33,46841
DEB34,173969
DEB35,218104
DEB36,53359
DEB37,39409
DEB38,50805
DEB39,83486
DEB3A,33782
DEB3B,131172
DEB3C,133024
DEB3D,75255
DEB3E,129450
DEB3F,106097
DEB3G,69465
DEB3H,111066
DEB3I,155699
DEB3J,212821
DEB3K,94142
DEC01,327083
DEC02,103239
DEC03,130254
DEC04,190580
DEC05,140874
DEC06,85718
DED21,565671
DED2C,295003
DED2D,248007
DED2E,240105
DED2F,245046
DED41,245688
DED42,326934
DED43,298433
DED44,221836
DED45,307921
DED51,614256
DED52,258250
DED53,197573
DEE01,77648
DEE02,237371
DEE03,236384
DEE04,81370
DEE05,154166
DEE06,88638
DEE07,169516
DEE08,175303
DEE09,208126
DEE0A,131142
DEE0B,181158
DEE0C,184048
DEE0D,109153
DEE0E,122609
DEF01,90868
DEF02,246601
DEF03,215394
DEF04,80233
DEF05,132695
DEF06,199972
DEF07,166715
DEF08,200435
DEF09,319049
DEF0A,128785
DEF0B,274278
DEF0C,202519
DEF0D,278556
DEF0E,130043
DEF0F,245649
DEG01,216104
DEG02,91178
DEG03,111906
DEG04,35457
DEG05,65486
DEG06,98811
DEG07,81309
DEG09,100614
DEG0A,71986
DEG0B,122757
